waypoint1	waypoint2	distance_m	duration_s
The Queen Mary, Queens Highway, Long Beach, CA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	206789	7652
Big Sur, Monterey County, CA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3863884	127362
The Queen Mary, Queens Highway, Long Beach, CA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	756011	27916
Mount Whitney, Inyo County, CA	Red Rocks Park, Central Avenue, South Burlington, VT	4613314	154495
Beacon Hill Park, Victoria, BC, Canada	N Dean St & E Texas St, Marfa, TX 79843	3337219	117555
Lake Superior Brewing Co, West Superior Street, Duluth, MN	N Dean St & E Texas St, Marfa, TX 79843	2484076	78861
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Big Sur, Monterey County, CA	4995140	161827
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Cherry Creek State Park, South Parker Road, Aurora, CO	2985511	96261
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	N Dean St & E Texas St, Marfa, TX 79843	2781329	89355
Powell Slough Waterfowl Management Area, Orem, UT	Congress Street, Portland, ME	3995279	129781
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Atalaya Mountain, Santa Fe, NM	1096879	38038
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Yosemite National Park, CA	4496476	147553
Grand Teton National Park, Teton County, WY	Discovery Park, Discovery Park Boulevard, Seattle, WA	1321102	47282
113 Mill Creek Road, South Chatham, MA	Grand Canyon National Park, AZ	4273648	140876
University of California, Santa Cruz, High Street, Santa Cruz, CA	Grand Canyon National Park, AZ	1197752	40432
Cheatham Wildlife Management Area, Ashland City, TN	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3498558	112796
Burnside Bridge, Portland, OR	University of California, Santa Cruz, High Street, Santa Cruz, CA	1120074	38717
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Red Rocks Park, Central Avenue, South Burlington, VT	1811468	70725
Grand Teton National Park, Teton County, WY	Bonneville Salt Flats, Tooele County, UT	680535	22559
Cherry Creek State Park, South Parker Road, Aurora, CO	Beacon Hill Park, Victoria, BC, Canada	2424083	86271
Powell Slough Waterfowl Management Area, Orem, UT	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	771631	27195
Lake Superior Brewing Co, West Superior Street, Duluth, MN	4919 Cave Run Drive, Houston, TX	2173758	71700
Powell Slough Waterfowl Management Area, Orem, UT	Bonneville Salt Flats, Tooele County, UT	258214	8300
4919 Cave Run Drive, Houston, TX	Beacon Hill Park, Victoria, BC, Canada	4079794	141011
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Red Rocks Park, Central Avenue, South Burlington, VT	3154196	107907
De las Flores, San Quintin, Mexico	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3754068	122050
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Atalaya Mountain, Santa Fe, NM	3390177	113068
Atalaya Mountain, Santa Fe, NM	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	2719442	88820
Grand Teton National Park, Teton County, WY	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1555034	51806
Cheatham Wildlife Management Area, Ashland City, TN	Mount Whitney, Inyo County, CA	3288079	105914
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Beacon Hill Park, Victoria, BC, Canada	2948459	101263
Beacon Hill Park, Victoria, BC, Canada	Boulder Mountain Park, Boulder, CO	2406648	85759
The Queen Mary, Queens Highway, Long Beach, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	1877090	63957
10 Witherell Street, Detroit, MI	Zion National Park, Washington County, UT	3008792	97145
Millennium Park Path, Grand Rapids, MI	Mount Whitney, Inyo County, CA	3441249	111751
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1819978	59164
University of North Carolina at Chapel Hill, Chapel Hill, NC	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3863954	125511
113 Mill Creek Road, South Chatham, MA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	4728473	156234
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	10 Witherell Street, Detroit, MI	2271169	74594
Zion National Park, Washington County, UT	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	649640	24177
2131 West Cortez Street, Chicago, IL	De las Flores, San Quintin, Mexico	3657402	121650
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	113 Mill Creek Road, South Chatham, MA	2370984	79002
Trancas Crossing Park, Trancas Street, Napa, CA	Zion National Park, Washington County, UT	1205765	40696
Golden Gate Park, San Francisco, CA	Boulder Mountain Park, Boulder, CO	2038101	66493
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Golden Gate Park, San Francisco, CA	3187622	104376
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Golden Gate Park, San Francisco, CA	813004	27700
Indian Island, Eureka, CA	Mount Whitney, Inyo County, CA	992757	40067
Cherry Creek State Park, South Parker Road, Aurora, CO	Cherokee Marsh State Fishery Area, Madison, WI	1587644	50753
Powell Slough Waterfowl Management Area, Orem, UT	Cherokee Marsh State Fishery Area, Madison, WI	2243102	72997
Grand Teton National Park, Teton County, WY	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	3278413	107863
Grand Teton National Park, Teton County, WY	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3295572	108444
The Queen Mary, Queens Highway, Long Beach, CA	Big Sur, Monterey County, CA	509415	21804
De las Flores, San Quintin, Mexico	Discovery Park, Discovery Park Boulevard, Seattle, WA	2348866	83998
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	University of California, Santa Cruz, High Street, Santa Cruz, CA	1182725	39711
Grand Teton National Park, Teton County, WY	University of North Carolina at Chapel Hill, Chapel Hill, NC	3347115	110913
Bonneville Salt Flats, Tooele County, UT	N Dean St & E Texas St, Marfa, TX 79843	1894550	63207
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Grand Canyon National Park, AZ	1733888	57971
Cheatham Wildlife Management Area, Ashland City, TN	University of North Carolina at Chapel Hill, Chapel Hill, NC	873217	30143
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4241679	136106
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	4919 Cave Run Drive, Houston, TX	1798465	58749
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Cherokee Marsh State Fishery Area, Madison, WI	515856	17324
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	3484364	110995
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Red Rocks Park, Central Avenue, South Burlington, VT	3966312	131896
Cherry Creek State Park, South Parker Road, Aurora, CO	Discovery Park, Discovery Park Boulevard, Seattle, WA	2147409	70595
Bonneville Salt Flats, Tooele County, UT	Red Rocks Park, Central Avenue, South Burlington, VT	3869913	128626
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	University of California, Santa Cruz, High Street, Santa Cruz, CA	4410102	143192
10 Witherell Street, Detroit, MI	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	1342866	47159
Grand Teton National Park, Teton County, WY	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1186411	39953
Cheatham Wildlife Management Area, Ashland City, TN	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	2447512	78197
Zion National Park, Washington County, UT	Lake Tahoe State Park, Nevada 28, Incline Village, NV	919168	33675
The Queen Mary, Queens Highway, Long Beach, CA	Zion National Park, Washington County, UT	710855	24150
Powell Slough Waterfowl Management Area, Orem, UT	Beacon Hill Park, Victoria, BC, Canada	1700882	62647
Golden Gate Park, San Francisco, CA	Grand Canyon National Park, AZ	1268037	42529
Millennium Park Path, Grand Rapids, MI	4919 Cave Run Drive, Houston, TX	2001731	66549
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	2694163	85301
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Grand Canyon National Park, AZ	4025465	132208
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Burnside Bridge, Portland, OR	4778631	156189
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	249144	10766
The Queen Mary, Queens Highway, Long Beach, CA	Beacon Hill Park, Victoria, BC, Canada	1997237	75105
2131 West Cortez Street, Chicago, IL	Powell Slough Waterfowl Management Area, Orem, UT	2279298	74342
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Red Rocks Park, Central Avenue, South Burlington, VT	4540277	151754
Trancas Crossing Park, Trancas Street, Napa, CA	Pedernales Falls State Park, Park Road 6026, Johnson City, TX	2808603	88975
Millennium Park Path, Grand Rapids, MI	Congress Street, Portland, ME	1513310	50477
Zion National Park, Washington County, UT	Red Rocks Park, Central Avenue, South Burlington, VT	4007785	134406
Millennium Park Path, Grand Rapids, MI	Discovery Park, Discovery Park Boulevard, Seattle, WA	3616546	116620
Atalaya Mountain, Santa Fe, NM	113 Mill Creek Road, South Chatham, MA	3637463	121153
Powell Slough Waterfowl Management Area, Orem, UT	Cherokee Park, Cochran Hill Road, Louisville, KY	2567390	82971
Big Bend National Park, TX	4919 Cave Run Drive, Houston, TX	1032399	35396
2131 West Cortez Street, Chicago, IL	Congress Street, Portland, ME	1743230	58075
Trancas Crossing Park, Trancas Street, Napa, CA	Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	950654	31959
Grand Teton National Park, Teton County, WY	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	3447945	114625
Big Bend National Park, TX	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	2863079	94564
2131 West Cortez Street, Chicago, IL	Burnside Bridge, Portland, OR	3433315	111010
10 Witherell Street, Detroit, MI	Indian Island, Eureka, CA	4059008	133234
Zion National Park, Washington County, UT	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3034399	99697
Cherokee Marsh State Fishery Area, Madison, WI	Grand Canyon National Park, AZ	2627597	86700
Trancas Crossing Park, Trancas Street, Napa, CA	Big Sur, Monterey County, CA	296926	11565
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Big Bend National Park, TX	3637675	121721
Big Bend National Park, TX	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	2671911	88537
Trancas Crossing Park, Trancas Street, Napa, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	190155	7851
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Grand Teton National Park, Teton County, WY	1733459	61661
Cheatham Wildlife Management Area, Ashland City, TN	Cherry Creek State Park, South Parker Road, Aurora, CO	1846800	59126
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Pedernales Falls State Park, Park Road 6026, Johnson City, TX	2180676	70839
4919 Cave Run Drive, Houston, TX	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	2361704	76904
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Zion National Park, Washington County, UT	1902868	65699
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Millennium Park Path, Grand Rapids, MI	1184895	40145
Mount Whitney, Inyo County, CA	Bonneville Salt Flats, Tooele County, UT	776386	28513
Cheatham Wildlife Management Area, Ashland City, TN	Zion National Park, Washington County, UT	2737804	90481
2131 West Cortez Street, Chicago, IL	Indian Island, Eureka, CA	3631076	120427
4919 Cave Run Drive, Houston, TX	Burnside Bridge, Portland, OR	3671925	120832
4919 Cave Run Drive, Houston, TX	Grand Canyon National Park, AZ	1997916	67258
Bonneville Salt Flats, Tooele County, UT	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3209856	103531
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Millennium Park Path, Grand Rapids, MI	1151830	38483
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Cherokee Marsh State Fishery Area, Madison, WI	2797443	89489
Indian Island, Eureka, CA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1232230	42802
Lake Superior Brewing Co, West Superior Street, Duluth, MN	De las Flores, San Quintin, Mexico	3754780	123531
Cherry Creek State Park, South Parker Road, Aurora, CO	Grand Canyon National Park, AZ	1004314	39144
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	University of North Carolina at Chapel Hill, Chapel Hill, NC	3289989	105652
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	4919 Cave Run Drive, Houston, TX	2641351	83152
Golden Gate Park, San Francisco, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	122025	5515
Cherry Creek State Park, South Parker Road, Aurora, CO	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1741531	56516
2131 West Cortez Street, Chicago, IL	Big Bend National Park, TX	2333450	78206
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	738368	24739
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	University of North Carolina at Chapel Hill, Chapel Hill, NC	1919762	65075
Millennium Park Path, Grand Rapids, MI	Lake Tahoe State Park, Nevada 28, Incline Village, NV	3390254	107853
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	1800890	61792
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Apache Cafe, 3rd Street Northwest, Atlanta, GA	501950	17788
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Apache Cafe, 3rd Street Northwest, Atlanta, GA	2744108	87413
Grand Teton National Park, Teton County, WY	Big Sur, Monterey County, CA	1684484	57088
De las Flores, San Quintin, Mexico	Burnside Bridge, Portland, OR	2061807	73604
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	1750906	59370
Cherokee Park, Cochran Hill Road, Louisville, KY	Boulder Mountain Park, Boulder, CO	1817985	57919
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Discovery Park, Discovery Park Boulevard, Seattle, WA	4520027	146890
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Cherokee Park, Cochran Hill Road, Louisville, KY	1143324	38265
Congress Street, Portland, ME	Discovery Park, Discovery Park Boulevard, Seattle, WA	5077668	164735
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Catskill Mountains, Shandaken, NY	2053048	69722
2131 West Cortez Street, Chicago, IL	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	3386986	109115
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Burnside Bridge, Portland, OR	3290868	111933
Cherry Creek State Park, South Parker Road, Aurora, CO	Big Bend National Park, TX	1365812	47959
Zion National Park, Washington County, UT	Congress Street, Portland, ME	4296841	139777
Red Rocks Park, Central Avenue, South Burlington, VT	Boulder Mountain Park, Boulder, CO	3062112	102800
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	440420	14491
2131 West Cortez Street, Chicago, IL	Red Rocks Park, Central Avenue, South Burlington, VT	1454174	52704
The Queen Mary, Queens Highway, Long Beach, CA	Catskill Mountains, Shandaken, NY	4536126	147141
Trancas Crossing Park, Trancas Street, Napa, CA	Grand Teton National Park, Teton County, WY	1441970	48445
Trancas Crossing Park, Trancas Street, Napa, CA	Cherokee Park, Cochran Hill Road, Louisville, KY	3690832	118491
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	113 Mill Creek Road, South Chatham, MA	4511902	145404
Mount Whitney, Inyo County, CA	Catskill Mountains, Shandaken, NY	4457512	146786
10 Witherell Street, Detroit, MI	University of California, Santa Cruz, High Street, Santa Cruz, CA	3954630	126757
Big Bend National Park, TX	Grand Canyon National Park, AZ	1473013	52347
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1615088	53516
2131 West Cortez Street, Chicago, IL	University of California, Santa Cruz, High Street, Santa Cruz, CA	3526698	113950
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Red Rocks Park, Central Avenue, South Burlington, VT	2119646	74499
Catskill Mountains, Shandaken, NY	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1503760	52172
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Grand Canyon National Park, AZ	134304	5182
Cheatham Wildlife Management Area, Ashland City, TN	Grand Teton National Park, Teton County, WY	2552451	85134
Cherokee Marsh State Fishery Area, Madison, WI	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	2586852	86368
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	3247510	103582
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	2130290	71072
Lake Tahoe State Park, Nevada 28, Incline Village, NV	Yosemite National Park, CA	203937	8651
Grand Canyon National Park, AZ	Boulder Mountain Park, Boulder, CO	1022568	39673
Burnside Bridge, Portland, OR	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1742661	57927
Big Sur, Monterey County, CA	Yosemite National Park, CA	339840	14650
De las Flores, San Quintin, Mexico	Cherokee Park, Cochran Hill Road, Louisville, KY	3640758	121838
Cherokee Marsh State Fishery Area, Madison, WI	Zion National Park, Washington County, UT	2544664	82993
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	10 Witherell Street, Detroit, MI	933423	32075
The Queen Mary, Queens Highway, Long Beach, CA	Bonneville Salt Flats, Tooele County, UT	1051908	35446
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Cherokee Marsh State Fishery Area, Madison, WI	426651	14392
Discovery Park, Discovery Park Boulevard, Seattle, WA	University of California, Santa Cruz, High Street, Santa Cruz, CA	1407134	49110
University of North Carolina at Chapel Hill, Chapel Hill, NC	N Dean St & E Texas St, Marfa, TX 79843	2703173	86534
De las Flores, San Quintin, Mexico	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1105686	40871
10 Witherell Street, Detroit, MI	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	960047	33041
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Bonneville Salt Flats, Tooele County, UT	3701646	120317
Grand Teton National Park, Teton County, WY	Apache Cafe, 3rd Street Northwest, Atlanta, GA	2956156	97840
The Queen Mary, Queens Highway, Long Beach, CA	Grand Teton National Park, Teton County, WY	1617090	52129
De las Flores, San Quintin, Mexico	113 Mill Creek Road, South Chatham, MA	5192645	175854
10 Witherell Street, Detroit, MI	Millennium Park Path, Grand Rapids, MI	262323	8855
Mount Whitney, Inyo County, CA	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3584675	115130
Mount Whitney, Inyo County, CA	Golden Gate Park, San Francisco, CA	591497	26250
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	De las Flores, San Quintin, Mexico	3517926	116118
4919 Cave Run Drive, Houston, TX	Red Rocks Park, Central Avenue, South Burlington, VT	3090107	102925
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Catskill Mountains, Shandaken, NY	1362503	47461
Cherry Creek State Park, South Parker Road, Aurora, CO	4919 Cave Run Drive, Houston, TX	1657868	55125
4919 Cave Run Drive, Houston, TX	University of North Carolina at Chapel Hill, Chapel Hill, NC	1919986	62270
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Golden Gate Park, San Francisco, CA	4798382	155275
Big Bend National Park, TX	Boulder Mountain Park, Boulder, CO	1427592	50413
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Indian Island, Eureka, CA	3197259	103658
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Catskill Mountains, Shandaken, NY	4104761	133192
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Mount Whitney, Inyo County, CA	4186133	134094
Trancas Crossing Park, Trancas Street, Napa, CA	Cherokee Marsh State Fishery Area, Madison, WI	3354758	107676
Catskill Mountains, Shandaken, NY	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4406517	142887
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Discovery Park, Discovery Park Boulevard, Seattle, WA	1843442	62407
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Burnside Bridge, Portland, OR	1544328	55118
Zion National Park, Washington County, UT	4919 Cave Run Drive, Houston, TX	2166896	74986
Atalaya Mountain, Santa Fe, NM	Grand Canyon National Park, AZ	730633	24272
Cherokee Marsh State Fishery Area, Madison, WI	Catskill Mountains, Shandaken, NY	1544309	53267
Cherokee Marsh State Fishery Area, Madison, WI	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	1379471	46486
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Beacon Hill Park, Victoria, BC, Canada	1941866	76216
10 Witherell Street, Detroit, MI	University of North Carolina at Chapel Hill, Chapel Hill, NC	1051310	37678
Cherry Creek State Park, South Parker Road, Aurora, CO	Cherokee Park, Cochran Hill Road, Louisville, KY	1783514	56329
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	4071953	133176
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Cherokee Marsh State Fishery Area, Madison, WI	1710756	57549
The Queen Mary, Queens Highway, Long Beach, CA	Big Bend National Park, TX	1834228	61578
Atalaya Mountain, Santa Fe, NM	Millennium Park Path, Grand Rapids, MI	2283365	76229
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Zion National Park, Washington County, UT	3942531	128501
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Congress Street, Portland, ME	1665673	57203
Indian Island, Eureka, CA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	595125	25107
University of California, Santa Cruz, High Street, Santa Cruz, CA	Boulder Mountain Park, Boulder, CO	2115339	69126
Burnside Bridge, Portland, OR	Lake Tahoe State Park, Nevada 28, Incline Village, NV	915779	34813
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	N Dean St & E Texas St, Marfa, TX 79843	2247222	71448
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Apache Cafe, 3rd Street Northwest, Atlanta, GA	3174549	101507
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Big Sur, Monterey County, CA	4465342	146326
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Catskill Mountains, Shandaken, NY	3776138	124157
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Golden Gate Park, San Francisco, CA	3988642	128411
Grand Teton National Park, Teton County, WY	Indian Island, Eureka, CA	1682091	59851
Zion National Park, Washington County, UT	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3643996	119892
Discovery Park, Discovery Park Boulevard, Seattle, WA	Grand Canyon National Park, AZ	1970225	66309
Burnside Bridge, Portland, OR	Discovery Park, Discovery Park Boulevard, Seattle, WA	290335	10900
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Red Rocks Park, Central Avenue, South Burlington, VT	156497	6011
Trancas Crossing Park, Trancas Street, Napa, CA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1283580	42227
Trancas Crossing Park, Trancas Street, Napa, CA	Beacon Hill Park, Victoria, BC, Canada	1391537	55328
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	3497988	113318
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Atalaya Mountain, Santa Fe, NM	1942313	65033
Mount Whitney, Inyo County, CA	Big Sur, Monterey County, CA	628231	25332
Cherry Creek State Park, South Parker Road, Aurora, CO	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	2572762	81855
Powell Slough Waterfowl Management Area, Orem, UT	113 Mill Creek Road, South Chatham, MA	3957561	128912
Burnside Bridge, Portland, OR	Apache Cafe, 3rd Street Northwest, Atlanta, GA	4183828	137000
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Congress Street, Portland, ME	5102967	164554
Bonneville Salt Flats, Tooele County, UT	Grand Canyon National Park, AZ	744795	27547
4919 Cave Run Drive, Houston, TX	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1317797	42450
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Red Rocks Park, Central Avenue, South Burlington, VT	1851223	63381
Bonneville Salt Flats, Tooele County, UT	Lake Tahoe State Park, Nevada 28, Incline Village, NV	709460	23132
Powell Slough Waterfowl Management Area, Orem, UT	University of North Carolina at Chapel Hill, Chapel Hill, NC	3425340	111547
10 Witherell Street, Detroit, MI	4919 Cave Run Drive, Houston, TX	2128097	71154
Apache Cafe, 3rd Street Northwest, Atlanta, GA	University of California, Santa Cruz, High Street, Santa Cruz, CA	3917723	126563
Millennium Park Path, Grand Rapids, MI	Indian Island, Eureka, CA	3885935	127751
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Bonneville Salt Flats, Tooele County, UT	1173261	39764
The Queen Mary, Queens Highway, Long Beach, CA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4277005	138501
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	910024	29999
Discovery Park, Discovery Park Boulevard, Seattle, WA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	1202838	45206
Grand Canyon National Park, AZ	N Dean St & E Texas St, Marfa, TX 79843	1254312	42234
Burnside Bridge, Portland, OR	N Dean St & E Texas St, Marfa, TX 79843	2929350	97375
Red Rocks Park, Central Avenue, South Burlington, VT	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4562320	150597
Congress Street, Portland, ME	Lake Tahoe State Park, Nevada 28, Incline Village, NV	4851376	155968
Congress Street, Portland, ME	University of California, Santa Cruz, High Street, Santa Cruz, CA	5242679	169389
Millennium Park Path, Grand Rapids, MI	Zion National Park, Washington County, UT	2835719	91662
Cheatham Wildlife Management Area, Ashland City, TN	The Queen Mary, Queens Highway, Long Beach, CA	3226529	103380
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Burnside Bridge, Portland, OR	4506085	147023
Trancas Crossing Park, Trancas Street, Napa, CA	Indian Island, Eureka, CA	399597	16763
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	394530	15440
Trancas Crossing Park, Trancas Street, Napa, CA	Atalaya Mountain, Santa Fe, NM	1885232	61410
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	4919 Cave Run Drive, Houston, TX	1879116	62804
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Catskill Mountains, Shandaken, NY	2942306	98909
Big Bend National Park, TX	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	1354212	47893
University of North Carolina at Chapel Hill, Chapel Hill, NC	Red Rocks Park, Central Avenue, South Burlington, VT	1267390	45464
Big Bend National Park, TX	Beacon Hill Park, Victoria, BC, Canada	3555919	127668
