waypoint1	waypoint2	distance_m	duration_s
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Atalaya Mountain, Santa Fe, NM	2179167	72446
Trancas Crossing Park, Trancas Street, Napa, CA	Lake Tahoe State Park, Nevada 28, Incline Village, NV	295273	11480
2131 West Cortez Street, Chicago, IL	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	1195746	40607
2131 West Cortez Street, Chicago, IL	Golden Gate Park, San Francisco, CA	3436711	111112
Catskill Mountains, Shandaken, NY	University of California, Santa Cruz, High Street, Santa Cruz, CA	4797820	156309
Atalaya Mountain, Santa Fe, NM	Bonneville Salt Flats, Tooele County, UT	1201642	42407
113 Mill Creek Road, South Chatham, MA	Boulder Mountain Park, Boulder, CO	3313450	107303
Cherokee Park, Cochran Hill Road, Louisville, KY	University of California, Santa Cruz, High Street, Santa Cruz, CA	3776237	121510
Big Sur, Monterey County, CA	Catskill Mountains, Shandaken, NY	4904591	160022
Big Bend National Park, TX	Burnside Bridge, Portland, OR	3148051	107488
The Queen Mary, Queens Highway, Long Beach, CA	2131 West Cortez Street, Chicago, IL	3265004	104782
Burnside Bridge, Portland, OR	Boulder Mountain Park, Boulder, CO	1998780	65579
Congress Street, Portland, ME	Catskill Mountains, Shandaken, NY	530902	19526
Beacon Hill Park, Victoria, BC, Canada	University of North Carolina at Chapel Hill, Chapel Hill, NC	4864923	165625
Cheatham Wildlife Management Area, Ashland City, TN	Bonneville Salt Flats, Tooele County, UT	2806152	90825
Congress Street, Portland, ME	Golden Gate Park, San Francisco, CA	5152692	166551
Cherry Creek State Park, South Parker Road, Aurora, CO	Yosemite National Park, CA	1740949	59431
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	1888210	62941
Beacon Hill Park, Victoria, BC, Canada	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4744165	160558
De las Flores, San Quintin, Mexico	Congress Street, Portland, ME	5293505	176746
Cherry Creek State Park, South Parker Road, Aurora, CO	113 Mill Creek Road, South Chatham, MA	3302104	106668
Powell Slough Waterfowl Management Area, Orem, UT	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	3356638	108497
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Beacon Hill Park, Victoria, BC, Canada	4999552	169144
Trancas Crossing Park, Trancas Street, Napa, CA	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	583912	20533
113 Mill Creek Road, South Chatham, MA	Red Rocks Park, Central Avenue, South Burlington, VT	482589	17031
Cherry Creek State Park, South Parker Road, Aurora, CO	N Dean St & E Texas St, Marfa, TX 79843	1231489	40396
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Mount Whitney, Inyo County, CA	444741	15972
Atalaya Mountain, Santa Fe, NM	Zion National Park, Washington County, UT	870294	31452
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Powell Slough Waterfowl Management Area, Orem, UT	3640969	118505
Big Sur, Monterey County, CA	Congress Street, Portland, ME	5349450	173103
Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1094584	36385
Trancas Crossing Park, Trancas Street, Napa, CA	Grand Canyon National Park, AZ	1298607	42948
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Yosemite National Park, CA	4192858	136353
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Cherokee Park, Cochran Hill Road, Louisville, KY	3503621	111875
2131 West Cortez Street, Chicago, IL	Cherokee Park, Cochran Hill Road, Louisville, KY	488009	16847
Mount Whitney, Inyo County, CA	Grand Canyon National Park, AZ	864857	28990
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	2054392	68594
Trancas Crossing Park, Trancas Street, Napa, CA	Burnside Bridge, Portland, OR	984331	33788
The Queen Mary, Queens Highway, Long Beach, CA	Yosemite National Park, CA	489188	18207
Apache Cafe, 3rd Street Northwest, Atlanta, GA	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3386827	106032
Trancas Crossing Park, Trancas Street, Napa, CA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4497238	144598
De las Flores, San Quintin, Mexico	N Dean St & E Texas St, Marfa, TX 79843	1777287	61272
De las Flores, San Quintin, Mexico	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	554217	23862
Cherry Creek State Park, South Parker Road, Aurora, CO	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1821621	57647
Bonneville Salt Flats, Tooele County, UT	Big Sur, Monterey County, CA	1207888	40232
Grand Teton National Park, Teton County, WY	Millennium Park Path, Grand Rapids, MI	2444147	80191
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	2309825	75527
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	577098	19731
Cheatham Wildlife Management Area, Ashland City, TN	113 Mill Creek Road, South Chatham, MA	1918155	64937
Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	Discovery Park, Discovery Park Boulevard, Seattle, WA	2029720	68320
Cherokee Marsh State Fishery Area, Madison, WI	N Dean St & E Texas St, Marfa, TX 79843	2360614	75534
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	2931017	92714
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	2070233	68406
4919 Cave Run Drive, Houston, TX	Discovery Park, Discovery Park Boulevard, Seattle, WA	3803120	125336
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	4919 Cave Run Drive, Houston, TX	2384772	75443
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	De las Flores, San Quintin, Mexico	670407	27588
Indian Island, Eureka, CA	Congress Street, Portland, ME	5347057	175866
Cheatham Wildlife Management Area, Ashland City, TN	2131 West Cortez Street, Chicago, IL	702844	27288
Cherokee Marsh State Fishery Area, Madison, WI	Red Rocks Park, Central Avenue, South Burlington, VT	1700112	60976
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Mount Whitney, Inyo County, CA	3046914	98895
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Big Sur, Monterey County, CA	3384380	110928
Mount Whitney, Inyo County, CA	Boulder Mountain Park, Boulder, CO	1665574	59180
Grand Teton National Park, Teton County, WY	Red Rocks Park, Central Avenue, South Burlington, VT	3616213	122934
Cherry Creek State Park, South Parker Road, Aurora, CO	Indian Island, Eureka, CA	2236529	76499
De las Flores, San Quintin, Mexico	Boulder Mountain Park, Boulder, CO	2129151	77416
Catskill Mountains, Shandaken, NY	Golden Gate Park, San Francisco, CA	4707833	153470
Burnside Bridge, Portland, OR	Beacon Hill Park, Victoria, BC, Canada	410482	22048
Zion National Park, Washington County, UT	University of California, Santa Cruz, High Street, Santa Cruz, CA	1104909	38180
Cherokee Marsh State Fishery Area, Madison, WI	Bonneville Salt Flats, Tooele County, UT	2406792	77213
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Boulder Mountain Park, Boulder, CO	2996858	96895
Millennium Park Path, Grand Rapids, MI	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	1070905	35742
Millennium Park Path, Grand Rapids, MI	Cherokee Marsh State Fishery Area, Madison, WI	528046	18232
